Hauteur=500.000000, Largeur=500.000000, Population=2000, Prop initiale=0.950000, Periode=150

Heure=150: Sains=1984, Malades=16, Morts=0, Moy deplacement=0.642, Moy infection=0.003, Moy mort=0.056, Prop confinement=0.300

Heure=300: Sains=1802, Malades=198, Morts=0, Moy deplacement=0.246, Moy infection=0.040, Moy mort=0.056, Prop confinement=0.800

Heure=450: Sains=1114, Malades=886, Morts=0, Moy deplacement=0.101, Moy infection=0.177, Moy mort=0.056, Prop confinement=1.000

Heure=600: Sains=261, Malades=1735, Morts=4, Moy deplacement=0.103, Moy infection=0.344, Moy mort=0.056, Prop confinement=1.000

Heure=750: Sains=186, Malades=1785, Morts=29, Moy deplacement=0.101, Moy infection=0.330, Moy mort=0.050, Prop confinement=1.000

Heure=900: Sains=398, Malades=1507, Morts=95, Moy deplacement=0.102, Moy infection=0.210, Moy mort=0.037, Prop confinement=1.000

Heure=1050: Sains=297, Malades=1574, Morts=129, Moy deplacement=0.101, Moy infection=0.172, Moy mort=0.030, Prop confinement=1.000

Heure=1200: Sains=348, Malades=1495, Morts=157, Moy deplacement=0.101, Moy infection=0.149, Moy mort=0.027, Prop confinement=1.000

Heure=1350: Sains=487, Malades=1332, Morts=181, Moy deplacement=0.101, Moy infection=0.113, Moy mort=0.024, Prop confinement=1.000

Heure=1500: Sains=465, Malades=1345, Morts=190, Moy deplacement=0.099, Moy infection=0.101, Moy mort=0.024, Prop confinement=1.000

Heure=1650: Sains=486, Malades=1310, Morts=204, Moy deplacement=0.098, Moy infection=0.092, Moy mort=0.022, Prop confinement=1.000

Heure=1800: Sains=553, Malades=1227, Morts=220, Moy deplacement=0.098, Moy infection=0.078, Moy mort=0.021, Prop confinement=1.000

Heure=1950: Sains=556, Malades=1208, Morts=236, Moy deplacement=0.100, Moy infection=0.072, Moy mort=0.019, Prop confinement=1.000

Heure=2100: Sains=595, Malades=1161, Morts=244, Moy deplacement=0.100, Moy infection=0.065, Moy mort=0.019, Prop confinement=1.000

Heure=2250: Sains=619, Malades=1128, Morts=253, Moy deplacement=0.102, Moy infection=0.059, Moy mort=0.018, Prop confinement=1.000

Heure=2400: Sains=617, Malades=1122, Morts=261, Moy deplacement=0.100, Moy infection=0.056, Moy mort=0.017, Prop confinement=1.000

Heure=2550: Sains=652, Malades=1082, Morts=266, Moy deplacement=0.099, Moy infection=0.051, Moy mort=0.017, Prop confinement=1.000

Heure=2700: Sains=688, Malades=1041, Morts=271, Moy deplacement=0.100, Moy infection=0.047, Moy mort=0.017, Prop confinement=1.000

Heure=2850: Sains=752, Malades=967, Morts=281, Moy deplacement=0.101, Moy infection=0.042, Moy mort=0.016, Prop confinement=1.000

Heure=3000: Sains=757, Malades=953, Morts=290, Moy deplacement=0.101, Moy infection=0.040, Moy mort=0.016, Prop confinement=1.000

Heure=3150: Sains=775, Malades=932, Morts=293, Moy deplacement=0.102, Moy infection=0.037, Moy mort=0.015, Prop confinement=1.000

Heure=3300: Sains=793, Malades=908, Morts=299, Moy deplacement=0.101, Moy infection=0.035, Moy mort=0.015, Prop confinement=1.000

Heure=3450: Sains=802, Malades=890, Morts=308, Moy deplacement=0.099, Moy infection=0.033, Moy mort=0.015, Prop confinement=1.000

Heure=3600: Sains=859, Malades=828, Morts=313, Moy deplacement=0.101, Moy infection=0.030, Moy mort=0.014, Prop confinement=1.000

Heure=3750: Sains=857, Malades=823, Morts=320, Moy deplacement=0.101, Moy infection=0.029, Moy mort=0.014, Prop confinement=1.000

Heure=3900: Sains=867, Malades=809, Morts=324, Moy deplacement=0.100, Moy infection=0.028, Moy mort=0.014, Prop confinement=1.000

